ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
974069941,STARcise Kids Music Album (Canceled),Pop,Music,USD,2012-08-31,3000.00,2012-07-30 18:06:25,51.00,canceled,2,US,51.00,51.00,3000.00
974070011,Ralston is Nashville Bound,Country & Folk,Music,USD,2011-06-30,12525.00,2011-05-16 06:01:21,20.00,failed,2,US,20.00,20.00,12525.00
974077641,Ghosted - Web Series Pilot ( Comedy ),Webseries,Film & Video,USD,2016-05-25,1500.00,2016-04-25 07:21:36,1796.00,successful,16,US,1796.00,1796.00,1500.00
974079624,Sounds of Success: The National Trumpet Competition,Documentary,Film & Video,USD,2016-04-05,5000.00,2016-03-06 04:28:57,5680.00,successful,54,US,5680.00,5680.00,5000.00
974081287,Sonnet: Mobile Communication Without Cellular Reception,Gadgets,Technology,USD,2017-08-01,17000.00,2017-06-27 16:01:34,226324.00,successful,1708,US,9458.00,226324.00,17000.00
974089760,SnT Gaming Channel,Webseries,Film & Video,USD,2016-05-24,800.00,2016-04-24 10:36:43,0.00,failed,0,US,0.00,0.00,800.00
974091139,Griffith Records 3rd Annual Motor City Jam Fest!,Hip-Hop,Music,USD,2013-09-01,5000.00,2013-08-02 19:43:22,0.00,failed,0,US,0.00,0.00,5000.00
974103174,Hopes Change : Children's Book,Children's Books,Publishing,USD,2017-07-15,800.00,2017-05-16 03:59:13,261.00,failed,4,US,0.00,261.00,800.00
974103539,Node,Narrative Film,Film & Video,USD,2013-09-01,12000.00,2013-08-02 19:44:34,12807.00,successful,26,US,12807.00,12807.00,12000.00
97410845,Social video game Studio (Canceled),Video Games,Games,EUR,2015-08-09,450000.00,2015-06-10 17:28:05,0.00,canceled,0,FR,0.00,0.00,502692.20
974109221,"""Catan"" Real Wood Edition - The premium solid wood release.",Tabletop Games,Games,CAD,2015-11-21,12500.00,2015-10-29 11:58:57,12500.00,successful,103,CA,9429.36,9365.40,9365.40
974115972,RPMWEST #2: Limited Edition Japanese Selvedge Jeans,Apparel,Fashion,USD,2015-09-21,20000.00,2015-08-18 08:04:06,32381.00,successful,274,US,32381.00,32381.00,20000.00
974116030,3D HORROR RETRO GAMES - ALONE IN THE DARK 1 REMAKE,Video Games,Games,EUR,2016-03-20,940000.00,2016-02-19 13:59:07,25.00,failed,2,ES,27.85,27.88,1048475.25
