ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,
94824942,Movie-On-A-Stick: Outrageous Food at America's State Fair,Shorts,Film & Video,USD,2012-08-12,900.00,2012-08-03 20:44:58,2404.11,successful,60,US,2404.11,2404.11,900.00,
948258429,Hoodratz In Space: Issue #2,Comics,Comics,USD,2013-10-16,1000.00,2013-09-16 06:47:22,1600.01,successful,18,US,1600.01,1600.01,1000.00,
948268796,My Perfect Pasta,Food,Food,USD,2016-08-13,50000.00,2016-07-14 18:25:54,8.00,canceled,1,US,8.00,8.00,50000.00,
948270170,"Spring Sounds, Spring Seas",Classical Music,Music,USD,2011-12-10,18000.00,2011-10-11 02:35:52,5525.00,failed,53,US,5525.00,5525.00,18000.00,
948274748,[Removed] (Canceled),Conceptual Art,Art,USD,2013-04-08,3500.00,2013-03-09 07:42:24,41.00,canceled,3,US,41.00,41.00,3500.00,
94828287,Time Wars: Collectible Card Game (Canceled),Tabletop Games,Games,USD,2011-11-29,22000.00,2011-10-27 19:10:51,750.00,canceled,8,US,750.00,750.00,22000.00,
94828683,A Different Woman- Spring show in new Orleans!,Theater,Theater,USD,2012-02-10,300.00,2012-01-11 23:39:04,390.01,successful,25,US,390.01,390.01,300.00,
948293714,"Krusing to Nashville, the Music is Calling",Music,Music,USD,2015-07-11,999.00,2015-06-11 07:13:14,0.00,failed,0,US,0.00,0.00,999.00,
948299537,rLand,Residencies,Dance,CAD,2014-10-18,500000.00,2014-08-19 20:09:33,51.00,failed,6,CA,46.85,45.50,446030.33,
948309192,3 months in '13,Documentary,Film & Video,USD,2014-03-22,8000.00,2014-02-20 22:39:08,2745.00,failed,17,US,2745.00,2745.00,8000.00,
948315057,Music Mayhem - The Furiously Fun Music Game Show,Live Games,Games,USD,2016-01-16,54000.00,2015-12-02 14:20:22,3573.00,failed,51,US,3573.00,3573.00,54000.00,
948321377,YouDolls: Create a Unique Fully Customizable Fashion Doll,Interactive Design,Design,USD,2015-07-03,25000.00,2015-06-02 23:07:06,26145.00,successful,105,US,26145.00,26145.00,25000.00,
948322922,"""River Rats: Adventures in Poker"" Film Funding",Film & Video,Film & Video,USD,2012-01-07,500.00,2011-11-08 09:14:35,0.00,failed,0,US,0.00,0.00,500.00,
948329655,Somaliland: The Abaarso Story,Documentary,Film & Video,USD,2017-03-08,35000.00,2017-02-06 17:03:27,43758.00,successful,299,US,16940.00,43758.00,35000.00,
948332196,ILLUMINATIve Streetwear,Apparel,Fashion,USD,2015-07-31,5000.00,2015-07-01 19:49:24,0.00,failed,0,US,0.00,0.00,5000.00,
948334155,BLINDSIDE,Comics,Comics,USD,2011-06-28,10000.00,2011-03-30 18:16:21,10275.00,successful,97,US,10275.00,10275.00,10000.00,
948334512,South America! But I digress...: To all 13 countries in 2013,Nonfiction,Publishing,USD,2013-01-24,1000.00,2012-12-24 04:17:15,1275.00,successful,28,US,1275.00,1275.00,1000.00,
948335055,Arabian Stories: Arab thoughts put into perspective,Translations,Publishing,EUR,2016-09-12,7000.00,2016-08-04 07:47:53,7512.50,successful,172,DE,11.21,8433.53,7858.19,
94834189,Wind Sail Receptor,Hardware,Technology,USD,2014-05-03,500000.00,2014-03-19 18:32:22,1498.00,failed,49,US,1498.00,1498.00,500000.00,
948342063,Misc Anthology,Anthologies,Comics,GBP,2015-11-13,700.00,2015-10-14 10:45:50,1780.00,successful,111,GB,2724.85,2709.82,1065.66,
94834356,Community Radio - 97.5 FM KEWR - Enduring Word Radio,Radio & Podcasts,Publishing,USD,2014-04-05,5000.00,2014-03-06 18:12:15,5000.00,successful,1,US,5000.00,5000.00,5000.00,
948347695,Online Meeting Space for Entrepreneurs & Business Owners,Web,Technology,CAD,2014-12-20,1000.00,2014-11-25 04:18:45,31.00,failed,2,CA,27.60,26.74,862.66,
948360213,"Get Jack, the new musical by Kip Winger and Damien Gray",Music,Music,USD,2017-09-28,30000.00,2017-08-29 22:47:42,37286.00,successful,119,US,28005.00,37286.00,30000.00,
948362796,HEADBANGER LURE T1,Design,Design,SEK,2015-05-18,150000.00,2015-03-19 16:51:20,25450.00,failed,75,SE,2935.24,3072.41,18108.51,
948370070,"Le Grind - ""Toute Chaude"" Music Video",Pop,Music,GBP,2014-08-15,500.00,2014-07-16 10:55:20,535.00,successful,19,GB,913.84,892.92,834.50,
948371374,Ipanema in the 1990s,Documentary,Film & Video,USD,2016-02-12,10000.00,2016-01-13 20:55:41,50.00,failed,2,US,50.00,50.00,10000.00,
948376811,Foreplay: An Erotic Storytelling Game,Tabletop Games,Games,USD,2017-12-01,1500.00,2017-10-30 05:07:20,1799.00,successful,69,US,4.00,1799.00,1500.00,
948379922,The Lot - a narrative short film,Film & Video,Film & Video,USD,2014-07-28,10000.00,2014-06-28 17:20:34,10350.00,successful,143,US,10350.00,10350.00,10000.00,
